nohup: ignoring input
WARNING:root:No sentence-transformers model found with name /data/transformers/bert-base-uncased. Creating a new one with MEAN pooling.
Some weights of the model checkpoint at /data/transformers/bert-base-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Add 2 special tokens
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.

Trian : | Epoch [  4/ 10] Iter[2580/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2581/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2582/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2583/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2584/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2585/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2586/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2587/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2588/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2589/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2590/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2591/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2592/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2593/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2594/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2595/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2596/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2597/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2598/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2599/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2600/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2601/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2602/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2603/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2604/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2605/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2606/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2607/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2608/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2609/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2610/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2611/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2612/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2613/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2614/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2615/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2616/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2617/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2618/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2619/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2620/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2621/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2622/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2623/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2624/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2625/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2626/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2627/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2628/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2629/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2630/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2631/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2632/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2633/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2634/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2635/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2636/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2637/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2638/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2639/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2640/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2641/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2642/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2643/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2644/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2645/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2646/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2647/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2648/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2649/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2650/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2651/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2652/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2653/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2654/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2655/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2656/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2657/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2658/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2659/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2660/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2661/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2662/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2663/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2664/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2665/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2666/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2667/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2668/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2669/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2670/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2671/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2672/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2673/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2674/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2675/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2676/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2677/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2678/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2679/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2680/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2681/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2682/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2683/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2684/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2685/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2686/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2687/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2688/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2689/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2690/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2691/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2692/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2693/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2694/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2695/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2696/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2697/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2698/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2699/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2700/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2701/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2702/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2703/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2704/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2705/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2706/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2707/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2708/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2709/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2710/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2711/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2712/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2713/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2714/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2715/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2716/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2717/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2718/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2719/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2720/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2721/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2722/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2723/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2724/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2725/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2726/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2727/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2728/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2729/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2730/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2731/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2732/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2733/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2734/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2735/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2736/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2737/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2738/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2739/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2740/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2741/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2742/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2743/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2744/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2745/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2746/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2747/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2748/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2749/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2750/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2751/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2752/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2753/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2754/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2755/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2756/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2757/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2758/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2759/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2760/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2761/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2762/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2763/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2764/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2765/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2766/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2767/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2768/3645]	 CE-loss: 0.1631
Trian : | Epoch [  4/ 10] Iter[2769/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2770/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2771/3645]	 CE-loss: 0.1632
Trian : | Epoch [  4/ 10] Iter[2772/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2773/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2774/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2775/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2776/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2777/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2778/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2779/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2780/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2781/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2782/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2783/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2784/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2785/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2786/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2787/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2788/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2789/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2790/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2791/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2792/3645]	 CE-loss: 0.1633
Trian : | Epoch [  4/ 10] Iter[2793/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2794/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2795/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2796/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2797/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2798/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2799/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2800/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2801/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2802/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2803/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2804/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2805/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2806/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2807/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2808/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2809/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2810/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2811/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2812/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2813/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2814/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2815/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2816/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2817/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2818/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2819/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2820/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2821/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2822/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2823/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2824/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2825/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2826/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2827/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2828/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2829/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2830/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2831/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2832/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2833/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2834/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2835/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2836/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2837/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2838/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2839/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2840/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2841/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2842/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2843/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2844/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2845/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2846/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2847/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2848/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2849/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2850/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2851/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2852/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2853/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2854/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2855/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2856/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2857/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2858/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2859/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2860/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2861/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2862/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2863/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2864/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2865/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2866/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2867/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2868/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2869/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2870/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2871/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2872/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2873/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2874/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2875/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2876/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2877/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2878/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2879/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2880/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2881/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2882/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2883/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2884/3645]	 CE-loss: 0.1636
Trian : | Epoch [  4/ 10] Iter[2885/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2886/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2887/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2888/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2889/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2890/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2891/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2892/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2893/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2894/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2895/3645]	 CE-loss: 0.1635
Trian : | Epoch [  4/ 10] Iter[2896/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2897/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2898/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2899/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2900/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2901/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2902/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2903/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2904/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2905/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2906/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2907/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2908/3645]	 CE-loss: 0.1634
Trian : | Epoch [  4/ 10] Iter[2909/3645]	 CE-loss: 0.1634
